,store_nm,store_id,store_addr_line2_txt,store_city_nm,store_state_id,store_zip5_id,upc_id,upc_dsc,category_nm,Ranged w/o image on 8.12,exclude?,Rank
22079,SAFEWAY                  ,1717,1902 WEST MAIN STREET                   ,MESA                ,AZ,85201,28083700000,SF CHICKEN BREAST BNLS SKLS THN SLCD,"CHICKEN, REFRIGERATED",Yes,No,248
47547,SAFEWAY                  ,1717,1902 WEST MAIN STREET                   ,MESA                ,AZ,85201,22798300000,COOKIES CHOCOLATE CHIP 39 CT,ISB SNACKS,Yes,No,504
47848,SAFEWAY                  ,1717,1902 WEST MAIN STREET                   ,MESA                ,AZ,85201,4069771207,MINI MUFFINS CHOC CHIP 12 CT,ISB BREAKFAST BAKED GOODS,Yes,No,505
50418,SAFEWAY                  ,1717,1902 WEST MAIN STREET                   ,MESA                ,AZ,85201,20439100000,PAPA C SAUSAGE 10 CT,DINNER SAUSAGE,Yes,No,532
50570,SAFEWAY                  ,1717,1902 WEST MAIN STREET                   ,MESA                ,AZ,85201,20581500000,RBF CHICKEN TENDER JUMBO,"CHICKEN, REFRIGERATED",Yes,No,535
57743,SAFEWAY                  ,1717,1902 WEST MAIN STREET                   ,MESA                ,AZ,85201,26876900000,COOKIES OATMEAL CRANBERRY WALNUT 8CT,ISB SNACKS,Yes,No,593
57929,SAFEWAY                  ,1717,1902 WEST MAIN STREET                   ,MESA                ,AZ,85201,22745200000,CUPCAKES CHOCOLATE W/VANILLA ICING 9CT,ISB DESSERTS,Yes,No,596
58485,SAFEWAY                  ,1717,1902 WEST MAIN STREET                   ,MESA                ,AZ,85201,4880003155,FLAVRPAC BROCCOLI NORMANDY,BAG FROZEN VEGETABLES,Yes,No,598
60222,SAFEWAY                  ,1717,1902 WEST MAIN STREET                   ,MESA                ,AZ,85201,26808100000,CROISSANT LARGE 4CT,ISB BREAKFAST BAKED GOODS,Yes,No,613
61978,SAFEWAY                  ,1717,1902 WEST MAIN STREET                   ,MESA                ,AZ,85201,5023360008,93% LEAN GRND BEEF 7% FAT CHUB,"GROUND BEEF, RAW",Yes,No,639
65055,SAFEWAY                  ,1717,1902 WEST MAIN STREET                   ,MESA                ,AZ,85201,21602200000,PRIMO TAGLIO PROSCIUTTO,DELI MEAT,Yes,No,673
65259,SAFEWAY                  ,1717,1902 WEST MAIN STREET                   ,MESA                ,AZ,85201,26723100000,ROLLS WHITE BOLILLO 10CT,ISB MAIN MEAL LOAVES,Yes,No,675
65571,SAFEWAY                  ,1717,1902 WEST MAIN STREET                   ,MESA                ,AZ,85201,4255811123,KEENAN FARMS PISTACHIOS RSTD SLTD 8OZ,NUT IN SHELL,Yes,No,679
66082,SAFEWAY                  ,1717,1902 WEST MAIN STREET                   ,MESA                ,AZ,85201,1906109284,RAW CASHEWS,BULK FOODS,Yes,No,684
66344,SAFEWAY                  ,1717,1902 WEST MAIN STREET                   ,MESA                ,AZ,85201,20486000000,RBF CHICKEN BREAST STRIPS BNLS SKLS,"CHICKEN, REFRIGERATED",Yes,No,685
67185,SAFEWAY                  ,1717,1902 WEST MAIN STREET                   ,MESA                ,AZ,85201,21578100000,ECK LOAF OLIVE,DELI MEAT,Yes,No,695
67457,SAFEWAY                  ,1717,1902 WEST MAIN STREET                   ,MESA                ,AZ,85201,75166648005,TOMATOES TWILIGHTS,TOMATOES,Yes,No,696
